X Gaze Data, Y Gaze Data, Time 
1815,363,7616012
1815,363,7616021
1813,360,7616033
1813,361,7616045
1813,361,7616054
1812,360,7616066
1813,359,7616078
1813,359,7616087
1815,357,7616099
1814,358,7616112
1815,357,7616120
1818,353,7616133
1818,354,7616145
1818,354,7616154
1814,348,7616166
1814,347,7616178
1814,347,7616187
1816,356,7616199
1816,354,7616212
1816,354,7616221
1821,351,7616232
1820,351,7616245
1820,351,7616254
1819,351,7616266
1820,351,7616278
1821,352,7616287
1821,353,7616299
1820,354,7616311
1820,355,7616320
1817,357,7616332
1818,355,7616345
1818,355,7616354
1818,354,7616366
1817,354,7616378
1817,354,7616387
1816,353,7616399
1816,353,7616412
1817,353,7616420
1818,354,7616432
1821,361,7616444
1821,375,7616454
1819,412,7616466
1817,442,7616478
1817,445,7616487
1816,451,7616499
1816,463,7616511
1816,465,7616520
1816,467,7616532
1816,466,7616545
1817,466,7616554
1824,462,7616566
1823,462,7616578
1824,461,7616587
1823,458,7616599
1824,458,7616611
1824,458,7616620
1825,456,7616632
1825,456,7616644
1826,457,7616653
1826,457,7616665
1829,456,7616678
1831,456,7616687
1835,455,7616699
1847,455,7616711
1851,452,7616720
1856,446,7616732
1858,442,7616744
1859,441,7616753
1857,437,7616765
1857,437,7616778
1856,437,7616787
1856,439,7616799
1857,442,7616811
1857,443,7616820
1855,448,7616832
1854,446,7616845
1854,446,7616853
1854,445,7616865
1854,445,7616878
1842,426,7616887
1819,387,7616899
1804,363,7616911
1803,361,7616920
1801,358,7616932
1797,351,7616944
1796,349,7616953
1797,349,7616965
1799,351,7616977
1799,351,7616986
1797,352,7616998
1797,352,7617011
1797,351,7617020
1800,347,7617032
1798,347,7617044
1797,347,7617053
1794,345,7617065
1794,345,7617077
1795,346,7617087
1796,348,7617099
1795,349,7617111
1795,349,7617120
1789,352,7617132
1790,351,7617144
1790,351,7617153
1792,352,7617165
1792,352,7617177
1793,353,7617186
1795,355,7617198
1806,361,7617210
1812,364,7617220
1821,369,7617232
1832,371,7617244
1833,371,7617252
1836,372,7617264
1836,373,7617275
1840,372,7617285
1879,365,7617297
1889,360,7617309
1890,359,7617318
1891,358,7617331
1902,356,7617342
1903,356,7617352
1903,356,7617364
1898,356,7617375
1898,357,7617385
1898,356,7617397
1898,356,7617408
1898,357,7617418
1896,359,7617431
1891,373,7617442
1891,373,7617452
1887,373,7617464
1894,375,7617475
1938,391,7617485
2058,410,7617496
2104,403,7617508
2109,402,7617518
2141,416,7617530
2143,418,7617542
2145,419,7617552
2143,415,7617564
2140,405,7617575
2137,396,7617585
2142,399,7617597
2144,406,7617608
2147,412,7617618
2149,416,7617630
2146,443,7617642
2145,444,7617652
2138,438,7617664
2136,440,7617675
2134,440,7617685
2136,441,7617697
2116,436,7617709
2114,435,7617718
2111,435,7617730
2097,431,7617742
2096,431,7617751
2089,429,7617763
2090,431,7617775
2090,431,7617785
2090,432,7617797
2091,432,7617809
2092,432,7617818
2099,430,7617830
2104,428,7617841
2104,428,7617852
2099,431,7617863
2100,432,7617875
2100,432,7617885
2098,435,7617897
2096,436,7617908
2096,436,7617918
2095,437,7617930
2095,437,7617941
2096,438,7617951
2097,439,7617963
2097,440,7617975
2097,439,7617985
2097,436,7617997
2096,435,7618008
2096,434,7618018
2091,434,7618030
2091,434,7618041
2091,435,7618051
2093,437,7618063
2093,438,7618075
2092,440,7618085
2090,444,7618097
2090,445,7618108
2090,445,7618118
2087,446,7618130
2087,446,7618141
2088,445,7618151
2098,443,7618163
2095,443,7618175
2059,433,7618185
1960,409,7618197
1937,404,7618208
1926,402,7618218
1912,397,7618230
1891,392,7618241
1887,391,7618251
1885,392,7618263
1893,395,7618275
1893,395,7618284
1894,395,7618296
1896,392,7618308
1896,392,7618318
1896,391,7618330
1895,391,7618341
1894,391,7618351
1892,388,7618363
1891,385,7618375
1891,385,7618384
1893,390,7618396
1895,389,7618408
1895,389,7618418
1899,385,7618430
1898,386,7618441
1897,386,7618451
1897,384,7618463
1895,377,7618474
1895,377,7618484
1893,377,7618496
1893,377,7618508
1893,377,7618518
1895,381,7618529
1895,382,7618541
1895,381,7618551
1899,376,7618563
1898,377,7618575
1899,379,7618584
1898,380,7618596
1905,386,7618608
1909,392,7618618
1924,410,7618630
1935,435,7618642
1935,436,7618651
1936,437,7618663
1939,437,7618675
1940,437,7618684
1935,436,7618697
1936,436,7618708
1936,436,7618717
1936,436,7618730
1937,436,7618742
1939,435,7618751
1943,434,7618764
1942,434,7618775
1941,434,7618784
1938,431,7618797
1934,429,7618808
1934,429,7618817
1934,425,7618830
1934,425,7618841
1935,425,7618851
1936,425,7618863
1936,425,7618875
1926,432,7618884
1878,463,7618897
1860,471,7618908
1859,472,7618917
1857,470,7618930
1855,471,7618942
1854,471,7618951
1856,465,7618963
1861,462,7618975
1861,462,7618984
1861,463,7618997
1861,467,7619008
1862,468,7619017
1863,469,7619030
1865,468,7619041
1865,467,7619051
1864,464,7619063
1863,465,7619075
1863,465,7619084
1866,463,7619096
1866,464,7619108
1865,464,7619117
1865,463,7619130
1866,462,7619141
1866,461,7619150
1868,440,7619163
1867,444,7619174
1866,443,7619184
1861,437,7619196
1861,435,7619208
1861,435,7619217
1867,434,7619230
1868,431,7619241
1868,431,7619250
1872,428,7619263
1874,428,7619274
1874,427,7619284
1875,422,7619296
1875,421,7619308
1875,421,7619317
1875,421,7619330
1874,421,7619341
1873,421,7619350
1869,420,7619363
1868,420,7619374
1855,424,7619383
1836,436,7619396
1802,459,7619408
1795,454,7619417
1792,412,7619429
1793,414,7619441
1793,414,7619450
1797,409,7619463
1802,406,7619474
1802,405,7619484
1804,405,7619496
1800,410,7619508
1800,410,7619517
1799,410,7619529
1802,408,7619541
1805,413,7619550
1432,315,7619662
1426,206,7619673
1426,206,7619683
1454,173,7619695
1459,171,7619707
1466,169,7619717
1472,168,7619729
1475,167,7619740
1476,166,7619750
1475,168,7619762
1469,176,7619773
1469,176,7619783
1470,172,7619795
1465,176,7619807
1464,176,7619817
1465,176,7619829
1469,176,7619840
1470,176,7619850
1469,175,7619862
1469,175,7619874
1461,172,7619883
1417,165,7619896
1415,162,7619907
1419,166,7619916
1424,167,7619929
1547,227,7619940
1570,238,7619950
1590,244,7619962
1653,272,7619974
1673,280,7619983
1704,294,7619995
1721,299,7620007
1729,303,7620016
1731,301,7620029
1728,301,7620040
1729,300,7620050
1733,294,7620062
1731,296,7620073
1730,296,7620083
1726,293,7620095
1725,291,7620107
1726,291,7620116
1731,296,7620128
1728,295,7620140
1729,295,7620150
1730,302,7620162
1729,301,7620173
1729,301,7620183
1727,306,7620195
1726,306,7620207
1726,307,7620217
1729,308,7620229
1728,309,7620240
1728,309,7620250
1730,310,7620262
1732,310,7620273
1734,310,7620283
1751,316,7620295
1755,320,7620307
1755,320,7620316
1756,319,7620328
1757,319,7620340
1757,318,7620350
1754,315,7620362
1755,317,7620373
1755,317,7620383
1759,316,7620395
1758,315,7620406
1757,315,7620416
1753,315,7620428
1752,316,7620440
1753,316,7620450
1755,319,7620462
1758,316,7620473
1793,418,7620483
1873,623,7620495
2041,1098,7620507
2045,1110,7620516
2052,1138,7620528
2054,1151,7620540
2057,1163,7620549
2063,1190,7620562
2051,1220,7620573
2053,1224,7620583
2055,1223,7620595
2054,1224,7620606
2054,1224,7620616
2052,1227,7620629
2052,1228,7620640
2051,1227,7620649
2050,1227,7620662
2055,1212,7620673
2056,1212,7620683
2054,1208,7620695
2054,1206,7620707
2054,1206,7620716
2054,1203,7620728
2055,1206,7620740
2055,1206,7620749
2054,1205,7620762
2050,1200,7620773
2045,1199,7620783
2031,1198,7620795
1768,1132,7620806
1739,1124,7620816
1715,1118,7620828
1683,1110,7620840
1668,1106,7620849
1648,1101,7620862
1650,1102,7620873
1642,1100,7620883
1644,1104,7620895
1645,1111,7620906
1645,1111,7620916
1647,1113,7620928
1649,1113,7620939
1649,1114,7620949
1649,1113,7620961
1648,1114,7620973
1638,1111,7620982
1627,1108,7620995
1556,1081,7621006
1365,1010,7621016
956,882,7621028
951,880,7621039
945,878,7621049
940,876,7621061
941,876,7621072
933,873,7621082
947,874,7621095
945,874,7621106
944,874,7621116
945,875,7621128
945,873,7621139
945,872,7621149
944,867,7621161
942,866,7621173
944,868,7621182
963,882,7621195
976,890,7621207
996,902,7621216
1018,917,7621228
1108,974,7621240
1123,984,7621249
1144,997,7621262
1249,1064,7621274
1256,1070,7621282
1256,1071,7621295
1254,1073,7621307
1254,1074,7621316
1256,1073,7621328
1255,1074,7621340
1255,1073,7621349
1257,1071,7621362
1257,1071,7621373
1258,1071,7621382
1260,1071,7621395
1263,1067,7621406
1328,974,7621415
1363,926,7621428
1611,571,7621440
1616,565,7621449
1620,559,7621461
1625,553,7621472
1630,547,7621482
1634,551,7621495
1643,548,7621506
1649,542,7621515
1648,537,7621528
1644,544,7621540
1643,543,7621549
1637,534,7621562
1638,530,7621573
1641,523,7621582
1660,468,7621595
1676,416,7621606
1677,412,7621615
1682,393,7621628
1688,378,7621640
1689,375,7621649
1689,375,7621661
1690,371,7621673
1693,356,7621682
1697,339,7621695
1707,274,7621706
1707,270,7621715
1705,260,7621728
1706,257,7621739
1706,255,7621748
1706,257,7621761
1711,260,7621773
1710,260,7621782
1709,260,7621795
1709,256,7621805
1709,256,7621815
1710,257,7621828
1710,258,7621839
1712,261,7621848
1713,258,7621861
1732,285,7621872
1734,286,7621882
1743,301,7621895
1739,309,7621906
1739,310,7621915
1737,316,7621928
1736,319,7621939
1737,320,7621948
1743,322,7621961
1742,323,7621972
1742,323,7621982
1737,327,7621994
1735,328,7622006
1734,328,7622015
1735,328,7622028
1736,328,7622039
1738,328,7622048
1750,330,7622061
1747,330,7622072
1747,331,7622082
1747,341,7622094
1745,343,7622106
1745,343,7622115
1746,342,7622128
1746,340,7622139
1746,340,7622148
1742,343,7622161
1741,340,7622172
1740,340,7622182
1739,338,7622194
